Name_Unificado,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
"""Nuke It""",,,,,
#IDARB,,,,,
#killallzombies,,,,,
'70s Robot Anime: Geppy-X,,,,,
'98 Koshien,0.15,0.1,0.12,0.03,0.41
'99 Koshien,,,,,
'Splosion Man,,,,,
(c-12) Final Resistance,,,,,
- Arcane RERaise -,,,,,
- Arcane Raise -,,,,,
- Arcane preRaise -,,,,,
...Iru!,,,,,
.deTuned,,,,,
.hack//G.U. Last Recode,0.1,0.04,0.08,0.03,0.24
.hack//G.U. Vol.1//Rebirth,,,0.17,,0.17
.hack//G.U. Vol.2//Reminisce,0.11,0.09,,0.03,0.23
.hack//G.U. Vol.2//Reminisce (jp sales),,,0.16,,0.16
.hack//G.U. Vol.3//Redemption,,,0.17,,0.17
.hack//Infection Part 1,0.49,0.38,0.26,0.13,1.27
.hack//Link,,,0.14,,0.14
.hack//Mutation Part 2,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,0.14,0.11,0.17,0.04,0.46
.hack//Quarantine Part 4: The Final Chapter,0.09,0.07,,0.02,0.18
.hack//fragment,,,,,
.hack: Sekai no Mukou ni + Versus,,,0.03,,0.03
0 Kara no Shogi: Shogi Youchien Ayumi Kumi R,,,,,
0 day Attack on Earth,,,,,
0-ji no Kane to Cinderella: Halloween Wedding,,,0.01,,0.01
007 Legends,0.3,0.36,,0.09,0.76
007 Racing,0.3,0.2,,0.03,0.53
007: License To Kill,,,,,
007: Quantum of Solace,1.8299999999999998,1.32,0.04,0.67,3.86
007: The World is Not Enough,1.13,0.38,0.02,0.03,1.55
007: The World is not Enough,0.51,0.35,,0.06,0.92
007: Tomorrow Never Dies,1.72,1.33,,0.16,3.21
007: Tomorrow Never Dies / The World is not Enough,,,,,
0x10c,,,,,
1 on 1,,,,,
1 vs. 100,0.08,,,0.01,0.09
1-2-Switch,,,,,
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),,,,,
1/2 Summer +,,,0.01,,0.01
10 Days Under the Sea,,,,,
10 Minute Solution,0.06,0.01,,0.01,0.08
10 Pin Bowling,,,,,
10 Second Run RETURNS,,,,,
10 Talismans,,,,,
"10,000 Games",,,,,
"10,000,000",,,,,
10-Yard Fight,,,,,
10.000 Bullets,,,,,
100 All-Time Favorites,0.35,0.12,,0.04,0.51
100 Bullets,,,,,
100 Classic Books,0.12,0.52,,0.02,0.67
100 Classic Games,,0.03,,0.0,0.04
100 DOORS : HELL PRISON ESCAPE,,,,,
100 Doors 2013,,,,,
100 Doors 3,,,,,
100 Doors Brain Teasers,,,,,
100 Doors Seasons - Part 1,,,,,
100 Doors Seasons - Part 2,,,,,
100 Doors: Floors Escape,,,,,
100 Kiri Golf DS,,,0.0,,0.0
100 Manyen Quiz Hunter,,,,,
"100 Washitsu ""room escape game""",,,,,
100 Wiki Quiz,,,,,
100 Years' War,,,,,
